owner_name,operating_name,permit_number,street,city,state,zip,county,latitude,longitude
"ENTENTE SPIRITS, LLC",ROUND BARN,MI-S-20152,3401 FRIDAY RD,COLOMA,MI,49038,BERRIEN,42.4064662,-86.250536
"FURNACE STREET DISTILLERY, LLC",,MI-S-20153,1121 FURNACE ST,ELBERTA,MI,49628,BENZIE,43.95601215,-86.40058252808981
THE HONORABLE DISTILLERIES INC.,,MI-S-20154,136 W WASHINGTON ST,MARQUETTE,MI,49855,MARQUETTE,45.8090945,-88.037775
HOMES BREWERY LLC,HOMES BREWERY,MI-S-20156,,ANN ARBOR,MI,48103,WASHTENAW,42.3893748,-83.50637874238865
TAPISTRY BREWING COMPANY INC.,TAPISTRY,MI-S-20157,4236 LAKE ST,BRIDGMAN,MI,49106,,41.7903488,-86.2498923
"VINEYARD 2121, LLC",VINEYARD 2121,MI-S-20158,2121 KERLIKOWSKE RD,BENTON HARBOR,MI,49022,BERRIEN,41.7903488,-86.2498923
JOY FAITH HOPE ENTERPRISE LLC,,MI-S-20160,152 S MAIN ST,WAYLAND,MI,49348,ALLEGAN,42.828009,-86.0961055
FRANKENMUTH BREWING COMPANY,FRANKENMUTH BREWERY,MI-S-20161,425 S MAIN ST,FRANKENMUTH,MI,48734,SAGINAW,43.17615309999999,-83.77475785014632
"ORIGIN BREWING, LLC",ARCHIVAL BREWING,MI-S-20162,6266 WEST RIVER DR NE,BELMONT,MI,49306,KENT,43.1777258,-85.2909243
"NORTHERN OAK BREWERY, INC.","NORTHERN OAK BREWERY,INC.",MI-S-20163,806 N SAGINAW ST,HOLLY,MI,48442,OAKLAND,42.3893748,-83.50637874238865
"HARMONY BREWING COMPANY, LLC",,MI-S-20164,1551 LAKE DR SE,GRAND RAPIDS,MI,49506,KENT,43.1777258,-85.2909243
"OV THE FARM, LLC",,MI-S-20165,12011 CENTER RD,TRAVERSE CITY,MI,49686,GRAND TRAVERSE,44.282221,-85.39700280254453
"SAWYER'S BREWING COMPANY, LLC",,MI-S-20166,4574 DOWLING ST,MONTAGUE,MI,49437,MUSKEGON,43.0365071,-86.2190423
"BBS DISTILLERIES, LLC",DISTILLERY,MI-S-20167,27600 SCHOOLCRAFT RD,LIVONIA,MI,48150,WAYNE,42.3893748,-83.50637874238865
TWO JAMES SPIRITS LLC,TWO JAMES SPIRITS LLC,MI-S-20169,2442 MICHIGAN AVE,DETROIT,MI,48216,WAYNE,42.36412165,-83.08849193200862
"SLEEPWALKER SPIRITS AND ALE, INC.",,MI-S-20171,1101 S WASHINGTON AVE,LANSING,MI,48910,INGHAM,42.739906149999996,-84.50638842275859
"KK ENTERPRISE NORD, LLC",TWO K,MI-S-20172,3872 SW BAY SHORE DR,SUTTONS BAY,MI,49682,,44.282221,-85.39700280254453
MONKEY FIST BREWING COMPANY LLC,MIDDLECOAST BREWING COMPANY,MI-S-20176,329 E STATE ST UNIT 2,TRAVERSE CITY,MI,49684,GRAND TRAVERSE,44.282221,-85.39700280254453
"SHERROW VENTURES, LLC",FENTON WINERY & BREWERY,MI-S-20177,1370 N LONG LAKE RD,FENTON,MI,48430,GENESEE,42.6284826,-83.8746715
BITTER TOMS MANUFACTURING LLC,BITTER TOM'S,MI-S-20179,2937 WATERVIEW DR,ROCHESTER HILLS,MI,48309,OAKLAND,42.6456178,-83.21481288270125
"SHORTCUT SPIRITS, LLC",MUSKRAT DISTILLING,MI-S-20180,121 WATER ST,BOYNE CITY,MI,49712,,45.0239763,-84.6915349
MORAVIAN SONS DISTILLING LLC.,MORAVIAN SONS DISTILLING,MI-S-20181,12381 DOWNES ST NE,LOWELL,MI,49331,,43.1777258,-85.2909243
"SAUGATUCK BREWING COMPANY, INC.",CRESTON BREWERY,MI-S-20183,1504 NE PLAINFIELD AVE,GRAND RAPIDS,MI,49505,KENT,43.1777258,-85.2909243
APERTURE BREWING COMPANY INC.,,MI-S-20184,28800 WALL ST,WIXOM,MI,48393,OAKLAND,42.5278865,-83.4441816
"TC COCKTAILS, LLC",TIN CAN COCKTAILS,MI-S-20185,2435 BURDETTE ST,FERNDALE,MI,48220,OAKLAND,42.36412165,-83.08849193200862
"BROTHERS IN BREWING, LLC",BATTLE ALLEY BREWING COMPANY,MI-S-20187,806 N SAGINAW ST,HOLLY,MI,48442,OAKLAND,42.3893748,-83.50637874238865
ATLOW L.L.C.,WILD ORCHARD DISTILLERY,MI-S-20188,230 E MUNISING AVE,MUNISING,MI,49862,ALGER,38.207976,-82.2957972
GUARDIAN BREWING COMPANY LLC,,MI-S-20192,3657 63RD ST,SAUGATUCK,MI,49453,ALLEGAN,42.828009,-86.0961055
"KOGNISJON BRYGGERI, LLC",,MI-S-20193,301 N FIRST ST,ISHPEMING,MI,49849,MARQUETTE,45.8090945,-88.037775
BRENGMAN BROTHERS LLC,BRENGMAN BROTHERS,MI-S-20194,9720 S CENTER HWY,TRAVERSE CITY,MI,49684,LEELANAU,44.282221,-85.39700280254453
BELLE RIVER WINERY LLC,,MI-S-20195,2405 ARLINGTON RD,COLUMBUS,MI,48063,,42.9993188,-82.4357993
JOY FAITH HOPE ENTERPRISE LLC,,MI-S-20196,739 S MAIN ST,WAYLAND,MI,49348,ALLEGAN,42.828009,-86.0961055
HOP LOT BREWING COMPANY LLC,HOP LOT BREWING CO.,MI-S-20198,650 S WEST BAY SHORE DR,SUTTONS BAY,MI,49682,LEELANAU,44.282221,-85.39700280254453
DRAGONMEAD L.C.,,MI-S-20199,14600 E 11 MILE,WARREN,MI,48089,,42.36412165,-83.08849193200862
"ENTENTE SPIRITS, LLC",,MI-S-202,10983 HILLS RD,BARODA,MI,49101,BERRIEN,41.7903488,-86.2498923
